0x703f6039ef259909b20077982df6300d6010ea168744db3eb8db4b63ce3587d1, 1579560533, DAI, 11.82013749369841, ETH, 0.0667180130786771
0x6d518ec48be27282af7a7c5a959d527802033870bcb60491ff98a8e7923a0c19, 1579575304, SAI, 52.31781392101412, ETH, 0.29847914898738775
0x471b29073c48b2ae163fe6077c3defb657658361e11126247f6a96a1403c3cc4, 1579824664, SAI, 33.73379803041635, ETH, 0.19749626415032587
0xd4a03fb903550056bb9efe29bb9333ef853878a34123c65472e61fd54e5a3e4f, 1579876935, SAI, 21.761199631130065, ETH, 0.12707791366479235
0xdb567d0bb3c8feb1577020d0a344b51812a8d56a77bb61afbfc834374d58f98a, 1579910495, DAI, 18.240149870882355, ETH, 0.10661198648284317
0x6e22822727e78c02704d466e93467461fca82c20967e60bc7dda87003743da82, 1580326278, SAI, 0.018543864398946983, ETH, 0.0001
0xf686f8d5ba69e406f0db8efa54af9e40090b5df8efa35d1a6d3c4400fa8fe1ff, 1580401748, DAI, 103920.84080385674, ETH, 550.7056081821072
0x2622be33c96276182de7812b5df28ebe76d5fc25785f6a076a2dce7de9317b65, 1580416213, USDC, 1100.9617896115085, ETH, 5.71595637661655
0xcd908de39abb70068f857bf1200353881968fcb71c96bfd57494c5ecb2e1c656, 1580417080, SAI, 3.312440129349937, ETH, 0.017
0x9c6838a307aa80f42cbb4aee1169dc10d63acf524fbf14a1def283bf19087871, 1580417157, SAI, 148.8890688336252, ETH, 0.7641237490461187
0x753bfe221b401c483e4fb7c7546ffa7b58c9d91410fdb7228bd47f4e9a43db47, 1580417265, SAI, 26.382611383609095, ETH, 0.1354
0xc087c66cde367caade9ccb8d42a9917b0219a62e03ba4756016cb14fb31cc392, 1580417376, USDC, 29.616568274816533, ETH, 0.1537
0xa7c4245410cceec1b356002109c1afdb897c57f67f0ec7d3f17c02a2e28c4e48, 1580420457, DAI, 13.639459356244073, ETH, 0.07
0xf5f8705ebcf47a58b0da029686396c07da3b76e2935cc6e9eba143e24d629718, 1580420482, DAI, 7.793976774949872, ETH, 0.04
0x42eec1d9c8e4123a4a593aae12b2ccc3640e937aa1f6e194da94a9b88a362d90, 1580437085, SAI, 2.0172990793605514, ETH, 0.0105
0x6fab6884831264cdd45528d55b4ae8acbe326b72f48fc0ec7bcf0b3f9161ea94, 1580632118, USDC, 87.402218399889, ETH, 0.4464
0xeb6ca70194d5755aedaacdc91635b1687da841a8742e2e2fd014aa796ac71ed5, 1580638389, DAI, 975.893673241576, ETH, 4.8992829642859705
0xc01d5053ea8719a881f4890c1d582d75c072f7fb921090b964b03d9baccba0c7, 1580638582, USDC, 1150.5908669505957, ETH, 5.789158283371787
0x5f996b7ffc1cf9990c32bf96ff6dc1cdf69b6f0f605ce5d87eb69d8fe0214d8f, 1580652527, USDC, 38.99910577494618, ETH, 0.1941
0x7055726c50d0bd612179b0002c2c34cb94114d08453bb1434dff27f667d48849, 1580652704, SAI, 15.47494447842296, ETH, 0.0769
0x48e8c9dc3e574ee83a173690c318adc73a2d50537e95af732ea8cd3457a94cc8, 1580662844, ZRX, 114.5145571529416, ETH, 0.13474109979078122
0x7174507a367b8aa116627a3cac1d449a90b4544b42228b4f65065c3c5920484e, 1580663395, DAI, 13.120219162711562, ETH, 0.06518856061787567
0x2986d2aa46b129d2bdbba38e9ff3f3e4df2b1801f528863a1a68052b988421eb, 1580679199, SAI, 103.3286488507111, ETH, 0.5117765850365855
0xae88f7ef761fc767d4113742fe304cc515b7f210a0b4ad00a5f18ad57b1608a0, 1580744577, SAI, 0, ETH, 1.65646e-13
0xe3b6aa02da9d2ea8cac0f50203920e6f697a3700ca3aad3b0d6c1bdcc7cc4d21, 1580746319, SAI, 0, ETH, 8.2823e-14
0x1d3187120f64a38edebd835301e94f1a6b62c29c2ff26a2281dbefd1067438fd, 1580749293, DAI, 0.4885359675659568, ETH, 0.002451495142524637
0x48ca03bbd1a1629f0f6d3fdf41c56b23f57cbddefa3c6545b0bc57f4899e697b, 1580876021, SAI, 0.050245082776351126, ETH, 0.00025622117813248
0x6e6fdac8372768e97d95df4184edb6687f9bf64357ae6ff7654f06526bee3245, 1580903188, DAI, 11.337957317609987, ETH, 0.055143538203983704
0x9db81f994bc7c30d52ee0c32aa3e26cf684bbdaff3d7172668dcb74c226f25c2, 1580903290, DAI, 48.87586632864104, ETH, 0.23771373684310432
0xd54cda27aebae20556bb17b4a224e7037c471f9a130ea356fb96133e7a16ee8d, 1580905938, SAI, 2.991718653958657, ETH, 0.014447921958012217
0x9a62fab5c7e0b39c93ddb0645a12357dc445caeda210485cb4b06365383ff953, 1580910489, SAI, 10.456991148468125, ETH, 0.0505
0x2f280a7b502b0a9c9642852ce6d54673c3961a0cdef53a9ae71035a0077b58fc, 1580910545, SAI, 6.274194689136844, ETH, 0.0303
0x71440e9ff485dcafe963d2106403882e832f91381d98002766482bcc0b34874e, 1580939187, DAI, 49551.68183761714, ETH, 228.985802594426
0xfef4d9b9000db994b5c321ea8765f5661d95db84ec05127858173ab0120b278b, 1580941888, USDC, 39.25254059979201, ETH, 0.1812
0x02173b6c0797027349ec3e327bf420fc776722bf5617419a4a50f226e0a4f2c1, 1580967097, DAI, 30.433474011859843, ETH, 0.14084782355623754
0x92e92ebeaa0f2d41ad560dfa05d153b6beb0f33372fac29a495e0d09e2684f10, 1580976416, SAI, 1.207753299327061, ETH, 0.005526913258509116
0xab75919cfab40a8bc9ef0a20d2dfca4c98b5c285c594550f2d0eed59fff922ac, 1580976486, DAI, 1.2385589942211161, ETH, 0.005667886090943347
0xb6edb0727b355d96210b656ddf99aace2ccf1c1b71d8378384c953c772c559e1, 1580976562, SAI, 1.178821007334122, ETH, 0.005394513480874301
0x985d8ff7eece5a1cb52453130b4fb97c795d482f229d657a73222ea14d7d26fd, 1580979273, DAI, 4.806630230515268, ETH, 0.02176991072694022
0x4b348ebbdf30a0caf2b73beee103b6f85e41856179ea9fe3b6818d329dfa316d, 1580979434, SAI, 105.60435185994646, ETH, 0.47829710255563446
0xb5d7ad076cfa3631b752f9c3e01434518f079254a2b720e6c2c04cfff0d214b3, 1580981179, SAI, 103.14569418583154, ETH, 0.4671614928863082
0x32b200802341267f9e3a8d0f44f588aa66f0e0f5e3780349401e2aaa425d2afb, 1580984250, SAI, 5.566898144099228, ETH, 0.02517546473946788
0x1db3d830ebe3e705a6127c1366d78b6cc6010ce7af29ccf5f69a3d07c8dd8109, 1580993665, SAI, 4.154875581890859, ETH, 0.018665884481560722
0x22006e5099cf8e5f8d8961c36e3128e3f8b69b55009142b5df7364a86e69d83f, 1580994420, USDC, 17.69037208361661, ETH, 0.07847581821687587
