0x8b9906b41288c07e498c23e1e491ea50c02a861d1537a15cf762ed0f79f757b7, 1610850542, ETH, 1.7781250749247697, COMP, 9.3499065
0x3902db6a689569cf9dbc64ec09b3f9c059990f31835a5dfe07a21106ce656e53, 1610961229, DAI, 249.5878555888465, COMP, 0.9993302146813628
0x1223183aec868f12acafcb4f843ecf46fc831fbf24d6f751e79380a9d2aa9325, 1611390089, DAI, 316758.5768838081, COMP, 1395.6723336033926
0x3c96b2dc96264e6fbb86ce1645c1a42f113f0e2a09730f45893f97e2be0ab854, 1611866779, ETH, 1.0215239994155363, COMP, 4.693346719278756
0x2625ecacc14d65ea02fbdb55179a4abbce59a6450cf8200ce02475c1b744e06f, 1611983317, ETH, 0.607817660520013, COMP, 2.3476857339706334
0xc2c22a1e453cc8258481e5fc1120f78fd7cd46e5dad50371fc5e06139f5e6087, 1612150032, WBTC, 5.877890126127569, COMP, 496.0362101400874
0x429c0cddb61c3f5e26dca6a56517451a8793241354c49d8b636b2640ae1f8088, 1612442921, WBTC, 16.356496731351847, COMP, 1294.4453875809268
0x2c91ae0d0b071ec6e81ae01b9c85018a4b9a292b6204024f1495eb8508f6f2ae, 1613322683, COMP, 6329.965041083168, COMP, 5861.078742551517
0xc2c9c4ccf4fc673ebb2d68b41f8a1e765be3a95a51b154b11c076f88979207d3, 1619229754, ETH, 0.40205342285229007, COMP, 1.280860957806578
0x792763a543a5fe556951dea75bf4151ff5f06faef11418047292624260f98792, 1619832460, USDC, 421.0504913352545, COMP, 0.5241307646977785
0x1afd5cf2f5a0989e9f9e1733ed4afa0511fccc97ce1de5d22e3c616063554f21, 1620904149, COMP, 5925.483173009988, COMP, 5486.558493909386
0x6a3146c6d7f03743b41d83a3e01ff9c56e95c03c0a4a3e2b0a752658b9971280, 1620917893, COMP, 3.207630804307929, COMP, 2.970028523182556
0x688fbcb62d53e8f3a623f141169fe9e2ddf0943e11e42d706f02e775e38f2288, 1621466807, USDC, 8028.316356262639, COMP, 14.007209828150295
0x7ad2cefdd0dac9f3fdc2732fad3bf33b3bbe883653f8bbb441e1c6f058bb0dea, 1623982679, DAI, 174.3514703122003, COMP, 0.5271360459938947
0x7ca530503aa33ade7a7811adba8b54d1a3fd2da57b9c7f41ab5522932d470d12, 1625511988, ETH, 1.223712743577634, COMP, 5.165515809016774
0x3f9b19b45320fc7c70f37590419b90e1c8846173be2922f272ada903804b0daa, 1630845097, DAI, 19024.984915300007, COMP, 33.651684907086626
0xe32d20eda732a4b4479236944038b1c1d120f4bceaa765613a91d19cc4574e08, 1632045427, COMP, 1.9956984705708185, COMP, 1.847868954409941
