0xbd219d147af8ea5cff25ac0c6576b2b36a84516709e0d9a05b245ba3a8cd5c62, 1608288091, DAI, 67.76013731118961, WBTC, 0.00272737
0x471b5462f5cefe9d5cbac531cf4cc4c10d6151d1ba7a96ffc24fc5527ee39ea2, 1608485611, ETH, 0.2442132471455394, WBTC, 0.00615202
0xf038a84c890b678af1c490556e7401132e6fd6b9dc82b2645f9ad017f6f3f5be, 1608498809, ETH, 1.235538049905309, WBTC, 0.03065681
0xc17aad97719c7790794b6b7f0d194895db53ec81b3c4852e9d9af3029a71a1c5, 1608569241, ETH, 5.700778081288354, WBTC, 0.13800409
0xbddba47144687b4d3ed3e7565b59eac0cd74d29d0e40bbbe34d0f6e47742b638, 1608613226, ETH, 2.813187491241622, WBTC, 0.06900558
0x95ba2185b21aa77c6a32459d217daf856b495ed3b5fdd4a19cd6fb81865bb77e, 1608731633, ETH, 84.80805383326472, WBTC, 1.98859905
0x6783afcd3c5554058aeb8a29a753580d531214628794d854c854a092867ec5ed, 1608731799, ETH, 0.8710055941051579, WBTC, 0.02036648
0xda44689e12342c217efb30f695fd3492363b4190f933f3239df0368451087561, 1608762324, ETH, 1.6439239662961598, WBTC, 0.03717288
0x3843b36d4f83c004dd0fae2f843f8afd980939199618e0a7791846509afa4c2d, 1608809085, ETH, 0.37437514014395623, WBTC, 0.00868732
0x0293f3d2ee4f478cbf90faedcf64b000690fe9085bb0921cdf67c84b9b789b11, 1608846406, ZRX, 483.54465752173246, WBTC, 0.00679288
0x0d868b2523d80fc8fc9dbdb52931137b53c9614e71b5e1cf42149b410d8c16c0, 1609312935, DAI, 925.5797766881373, WBTC, 0.03012255
0x43d394765c876dd798ac0b35de287b5faad61f2124d3d1dc97b1deefcca7e808, 1609477789, BAT, 0.0015458643280164119, WBTC, 1e-8
0x06887182bd9f15b653a51c83db6bf1e467ee103c560c6ce9a6c0e5fc09d9aad2, 1609590083, USDC, 689.6273825509166, WBTC, 0.02121595
0x6fbe0a5810b7d6912447a377e1e567a32c5c2bfc982d8c51471565346896d81d, 1609590402, USDC, 498.2042455624894, WBTC, 0.01519152
0x0a078aa057ef38b8dc11504455df8d04c1aa50edd5fbad63ad26cd1736814810, 1609591519, DAI, 1764.6077019532386, WBTC, 0.05345284
0x73a70711abcb821aa32aa12c768eb0a6fad5c8661383dd8a7f7740968fb9f498, 1609650576, DAI, 545.4353552392479, WBTC, 0.01491664
0x9b9fe7511675ab5c102ba0ae70a1e527065eb39103a02156ab8c66b2ad5aaa0d, 1609658650, DAI, 7691.612831917913, WBTC, 0.20677161
0xbf931265b2e601efaebcd7efdda7386a34cbac056ac69fd7c754e1c2b5c63396, 1609659115, USDC, 5609.7853431879275, WBTC, 0.15015276
0x489067420e2a4818f8e12a945929dfbc50dcf1d7a6216df3debddc79692048a3, 1609967742, DAI, 1071.5387644214238, WBTC, 0.02727524
0xe05e389e900281974a93c3990cab1d811782d821a6e70b4bad6fb1c57d65d819, 1610034874, DAI, 5307.186516627122, WBTC, 0.12635976
0x4b0dc324e4370eea04731c9e593c71cddfeb0c625ffc9e33c02fb52adecf48e2, 1610268325, USDC, 474.9031327208558, WBTC, 0.01072161
0x6a1a0352f2e7e970d718b1e7148d80096e966a8b9a1f6900aef5c2ed720593aa, 1610375076, DAI, 17037.653397224723, WBTC, 0.48168876
0xd20ec9e39d2016a2b9550e48268547a25f4f0609bb41819aa7dbf8d38abf9a85, 1610475008, UNI, 5.11129093123091, WBTC, 0.00075032
0xd8235169aee32da50185e5996dc6de499ee6fa719525bfb723214dad55646d1b, 1610837632, ETH, 0.5780097856620413, WBTC, 0.01788945
0x6e4c9cc982b7340f836cdcb9e10f47304b9f0d8a1215976f879fe7d17a3b0f1d, 1611149627, USDC, 2399.158151688596, WBTC, 0.0639005
0x544b010debed5f718c143ade7ff95e90f9f4cd54905d07fb9508cbbedd4b4065, 1611169279, DAI, 1228.9657892480875, WBTC, 0.03227074
0x29760f64fc158dd4075fc1e11e61e920e6bb7dc44fa368b5b7b45b1f4c16f7c2, 1611934310, BAT, 51.302873102148176, WBTC, 0.0004
0xc158c849abc9541e116803c18647a3fffd9a6f14dbd2dd5d731e4e75b8635c66, 1611934858, ZRX, 276.03054114595255, WBTC, 0.0042
0x484035e7b0bca00e8d3dc9b8cfdbf2ab902a4c3401fb759e2b67dd20f487515e, 1612162537, UNI, 108.03809865159948, WBTC, 0.05112332
0xefd1439a714738b6ebc029bf5b2a1198c44f57d90fa85c17bc8cd10a6a38aa78, 1612410257, USDC, 2844.2379331312404, WBTC, 0.06867961
0x062960eb3369847dab2d3cecc245710590cb24df81f8859aee82c3a26b9069dc, 1612790844, DAI, 72633.8453812335, WBTC, 1.50652093
0xdffb55ae0bb35f526e76bbb640be55d7d3608e2bb39357cc8d4f91f4ad2b6f21, 1613772731, ETH, 6071.24336524306, WBTC, 194.82689231
0x3b85e86b32e56488f14a89891f55a61c92af61b70002c1354d234a7b5acfb489, 1614067657, ETH, 2847.7276105673127, WBTC, 80.43053223
0xd70b42daec5bb9ac6e5df3d25d309f186db50df701f667e1f20b22448ea27d41, 1614071828, ETH, 14343.930429586928, WBTC, 385.36449734
0x96776bc7ad467f9f8f0f2d1ee633b2535f8760dea83269bae08d2382d0f88f22, 1614072487, ETH, 80.73622016693758, WBTC, 2.13634218
0xc98423a652a38754b827a2156cd63df9c01df51812940d8207d5bfecf447c6c8, 1614971437, USDC, 854.2883942998399, WBTC, 0.0165
0x86cce1bf23596d2655a6981704fd2266ea294350ed2a30ff3f9282ecfa8545e5, 1615464827, DAI, 823.4058214284114, WBTC, 0.01361752
0xfc28a5d9157408292aee91a103024aed3dc567568b95233920f8557fbd058ca6, 1615687645, DAI, 459.0519792004287, WBTC, 0.0069485
0xc71138008040a710abfcc7885fce2205f9dbea248bc248aa88df5efba5bc2fbc, 1616822370, ETH, 134.39429054755192, WBTC, 3.80545038
0x0d51175bd6ce40fb4eb46370ed40590e077b721386ee1bb8a9a79be446fa02de, 1619317604, DAI, 446.534507937165, WBTC, 0.00826681
0x16d48c8634ffca3c2f8caac71486b6e799eb1605bb31c8e68455d843a6b64a8d, 1619868537, USDC, 341.0442580874073, WBTC, 0.00548045
0x722f5e0f2394391260c8018a2f6f6aa9dc4a6680874568c80025708d278154d3, 1622884023, DAI, 178.82122563391275, WBTC, 0.00439836
0xeb322fb08f71a79e70b7da80986146c0e7ee9cbd065703453ca877d972d78d8c, 1623608671, ETH, 0.07244214420885155, WBTC, 0.00437066
0x67d32cb424f9371d7b582a6de74314f06e3452e0dd3b9f299149ec8092bc4fc0, 1623722196, DAI, 221.69122123618894, WBTC, 0.00503253
0xfeda4e52adca64ade3358aafcf94b5bd98f87f7880abdc44c21c007fdd9236e8, 1624179103, DAI, 135.36091415006575, WBTC, 0.00349786
0xf1d47ab4b68d673f2f0dc7724818b1416e67471b74ff7e2466d08d6d66ea2aff, 1624778716, USDC, 140.2784463797445, WBTC, 0.003905
